BuildingType_Campus,BuildingType_NonResidential,BuildingType_Nonresidential COS,BuildingType_Nonresidential WA,BuildingType_SPS-District K-12,GroupedPropertyType_Educational Facilities,GroupedPropertyType_Food and Perishables,GroupedPropertyType_Healthcare Facilities,GroupedPropertyType_Hotels and Restaurants,GroupedPropertyType_Office Buildings,GroupedPropertyType_Retail and Others,GroupedPropertyType_Specialized Properties,GroupedPropertyType_Storage and Logistics,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,DistanceToDowntown
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1920,1.0,2,57428,0,57428,,21.70000076,21.60000038,48.79999924,48.40000153,1247362.0,1239429.75,0.0,209536.5938,714939.0,5324.230469,532423.0,33.26,0.58,0.707874899401627
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1910,1.0,8,59400,0,59400,14.0,85.40000153,88.30000305,398.7000122,412.2000122,5071974.0,5242479.5,0.0,1486510.375,5071973.0,0.0,0.0,35.36,0.6,0.6899499815845299
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1926,1.0,2,52549,0,52549,,286.3999939,299.0,485.2999878,495.5,15026196.0,15683742.0,0.0,1357696.125,4632459.0,103937.3672,10393737.0,584.31,11.12,0.5161176052280732
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1930,1.0,20,98634,10043,88591,71.0,54.59999847,57.29999924,158.6000061,167.0,4841347.5,5078816.0,0.0,1257344.25,4290059.0,5512.879883,551288.0,59.19,0.6,0.8153479555852066
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1985,1.0,7,71150,0,71150,98.0,93.09999847,93.09999847,215.8999939,215.8999939,5348309.0,5348309.0,0.0,950732.8125,3243900.0,21044.08008,2104408.0,134.38,1.89,0.8037835575429643
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1908,1.0,7,122810,0,122810,99.0,44.0,49.59999847,68.19999695,74.09999847,5401277.5,6088417.5,0.0,379121.0938,1293561.0,41077.16016,4107716.0,227.18,1.85,0.9218286836991456
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1959,1.0,5,113173,42546,70627,86.0,74.80000305,76.90000153,165.6999969,172.1000061,5284343.5,5428403.5,0.0,863036.3125,2944680.0,23396.62891,2339663.0,144.79,1.28,1.8308086038608435
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2000,1.0,7,150453,34735,115718,84.0,60.70000076,61.79999924,128.0,129.8000031,6715187.0,6835263.5,0.0,995342.5,3396109.0,33190.77734,3319078.0,199.95,1.33,1.803506178513666
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1997,1.0,6,116300,28200,88100,80.0,65.90000153,67.09999847,144.5,147.1000061,5827595.5,5941927.0,0.0,934483.3125,3188457.0,26391.38086,2639138.0,162.39,1.4,1.8397204167941925
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1998,1.0,6,155602,36744,118858,81.0,43.90000153,44.0,107.4000015,107.5999985,6836900.0,6849826.5,0.0,1336148.125,4558937.0,22779.61914,2277962.0,152.76,0.98,2.5801992281721273
