Neighborhood,GroupedPrimaryPropertyTypes,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,DistanceToDowntown,Log_TotalGHGEmissions
NORTHEAST,Bâtiments d'Hébergement,1962.0,2.0,4.0,50017.0,53.0,5.982837819138688,5.258536496536192
EAST,Bâtiments Éducatifs et Culturels,1923.0,1.0,3.0,67743.0,34.0,2.9667153207152164,4.380149874661021
EAST,Bâtiments Éducatifs et Culturels,1908.0,1.0,6.0,194104.0,100.0,3.245053440844963,5.498110404253996
SOUTHEAST,Bâtiments Commerciaux et Administratifs,2003.0,1.0,3.0,63681.0,63.0,3.366838785002776,3.559340082758951
NORTHEAST,Bâtiments Autres,1941.0,1.0,4.0,56521.0,,7.9277176354073156,3.8137484361598055
NORTHEAST,Bâtiments Autres,1929.0,1.0,2.0,206934.0,,7.937539313757545,4.9021588177601725
NORTHWEST,Bâtiments d'Hébergement,2001.0,1.0,4.0,51390.0,89.0,14.083169042172331,4.854293326261249
NORTHWEST,Bâtiments Éducatifs et Culturels,1959.0,1.0,1.0,245587.0,92.0,13.420667436030552,6.09746735645105
NORTHWEST,Bâtiments d'Hébergement,2002.0,1.0,3.0,69138.0,78.0,13.41326401523026,4.500031867864786
DOWNTOWN,Bâtiments d'Hébergement,1904.0,1.0,5.0,190980.0,98.0,0.24186758710978964,4.965568190726947
DOWNTOWN,Bâtiments Autres,1998.0,1.0,6.0,284100.0,,0.40945321732843337,6.064064239522326
BALLARD,Bâtiments de Soins de Santé,1954.0,4.0,5.0,285333.0,14.0,7.7457736519881895,7.596643402621699
DOWNTOWN,Bâtiments Autres,2006.0,1.0,4.0,61156.0,,0.6117204453715432,5.18037806868335
DOWNTOWN,Bâtiments Autres,1910.0,1.0,4.0,59000.0,,1.117230407860815,3.8556642717587617
MAGNOLIA / QUEEN ANNE,Bâtiments d'Hébergement,1996.0,1.0,4.0,148022.0,76.0,2.5471104305871695,5.435467204695271
