Neighborhood,GroupedPrimaryPropertyTypes,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,DistanceToDowntown,proportion_surface_parking,proportion_surface_building,Log_SiteEnergyUseWN(kBtu)
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1962.0,1.0,2.0,,2.4697290782908334,0.0,1.0,14.802164222362995
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1928.0,1.0,1.0,,2.4697290782908334,0.0,1.0,13.683057797692378
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1928.0,1.0,2.0,,2.4960230705460216,0.0,1.0,16.85159372308695
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1986.0,1.0,2.0,,2.3764606039538174,0.035507246376811595,0.9644927536231884,15.248714446917512
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,2010.0,1.0,6.0,93.0,2.282369987990918,0.3299018681335393,0.6700981318664607,17.455858925595255
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1970.0,1.0,4.0,68.0,2.541420745016368,0.3402306693083857,0.6597693306916143,15.1095105434176
MAGNOLIA / QUEEN ANNE,Bâtiments d'Hébergement,2002.0,1.0,6.0,56.0,2.6600567484251103,0.3811164998452172,0.6188835001547828,15.47839899628798
NORTHEAST,Bâtiments d'Hébergement,1962.0,2.0,4.0,53.0,5.982837819138688,0.0,1.0,15.525441830648465
EAST,Bâtiments Éducatifs et Culturels,1923.0,1.0,3.0,34.0,2.9667153207152164,0.0,1.0,14.926204567824884
EAST,Bâtiments Éducatifs et Culturels,1908.0,1.0,6.0,100.0,3.245053440844963,0.0,1.0,15.790158228968243
SOUTHEAST,Bâtiments Commerciaux et Administratifs,2003.0,1.0,3.0,63.0,3.366838785002776,0.35955869781662025,0.6404413021833798,15.42108873117918
NORTHEAST,Bâtiments Autres,1941.0,1.0,4.0,,7.9277176354073156,0.0,1.0,15.666672098076255
NORTHEAST,Bâtiments Autres,1929.0,1.0,2.0,,7.937539313757545,0.0,1.0,15.293615003421793
NORTHWEST,Bâtiments d'Hébergement,2001.0,1.0,4.0,89.0,14.083169042172331,0.0,1.0,15.100938456691251
NORTHWEST,Bâtiments Éducatifs et Culturels,1959.0,1.0,1.0,92.0,13.420667436030552,0.0,1.0,16.37048082800533
NORTHWEST,Bâtiments d'Hébergement,2002.0,1.0,3.0,78.0,13.41326401523026,0.0,1.0,15.016499364594157
DOWNTOWN,Bâtiments d'Hébergement,1904.0,1.0,5.0,98.0,0.24186758710978964,0.0,1.0,15.688234771198152
DOWNTOWN,Bâtiments Autres,1998.0,1.0,6.0,,0.40945321732843337,0.0,1.0,16.51565969436572
BALLARD,Bâtiments de Soins de Santé,1954.0,4.0,5.0,14.0,7.7457736519881895,0.0,1.0,17.678400481433403
DOWNTOWN,Bâtiments Autres,2006.0,1.0,4.0,,0.6117204453715432,0.0,1.0,16.072126788172692
DOWNTOWN,Bâtiments Autres,1910.0,1.0,4.0,,1.117230407860815,0.1897830266410327,0.8102169733589674,14.555148236678022
MAGNOLIA / QUEEN ANNE,Bâtiments d'Hébergement,1996.0,1.0,4.0,76.0,2.5471104305871695,0.08753436648543354,0.9124656335145664,15.897015219947063
EAST,Bâtiments Éducatifs et Culturels,1915.0,1.0,3.0,,1.4183235450213876,0.0,1.0,15.004638368595145
DELRIDGE,Bâtiments Éducatifs et Culturels,1970.0,27.0,2.0,,6.614248446077257,0.0,1.0,17.532776598416856
NORTHEAST,Bâtiments Commerciaux et Administratifs,2002.0,1.0,2.0,,9.657649930236186,0.0,1.0,16.605106951325045
