Neighborhood,GroupedPrimaryPropertyTypes,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,DistanceToDowntown,proportion_surface_parking,proportion_surface_building,Log_TotalGHGEmissions
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1937.0,1.0,1.0,87.0,5.114751301291409,0.0,1.0,5.698535399469211
DELRIDGE,Bâtiments de Vente et de Services,1966.0,1.0,1.0,72.0,9.493364993203002,0.0,1.0,3.604954219176175
DELRIDGE,Bâtiments de Vente et de Services,1965.0,1.0,1.0,37.0,9.493364993203002,0.0,1.0,5.913881312449602
DELRIDGE,Bâtiments Éducatifs et Culturels,2010.0,1.0,2.0,97.0,8.761524885808365,0.0,1.0,5.61258051122973
BALLARD,Bâtiments Autres,1973.0,1.0,3.0,,9.352171103446283,0.0,1.0,4.099995233730915
SOUTHWEST,Bâtiments Industriels et de Stockage,1969.0,1.0,2.0,,7.432807129199432,0.0,1.0,3.911822985425479
LAKE UNION,Bâtiments d'Hébergement,1998.0,1.0,5.0,79.0,2.7681240625353674,0.2420916720464816,0.7579083279535184,5.738505910714586
LAKE UNION,Bâtiments Autres,1900.0,1.0,1.0,,2.5203808565802803,0.0,1.0,5.423583445380434
MAGNOLIA / QUEEN ANNE,Bâtiments Industriels et de Stockage,1926.0,1.0,2.0,,2.3863293114189013,0.0,1.0,1.3862943611198906
MAGNOLIA / QUEEN ANNE,Bâtiments d'Hébergement,1998.0,1.0,7.0,76.0,2.587544785782226,0.2616875987209616,0.7383124012790384,5.826471972435803
NORTHWEST,Bâtiments Commerciaux et Administratifs,1957.0,1.0,2.0,,10.625941490515755,0.0,1.0,5.174849452547792
NORTHWEST,Bâtiments d'Hébergement,1968.0,1.0,4.0,70.0,11.579966889359742,0.0,1.0,5.343577497952901
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1900.0,1.0,3.0,78.0,0.4563584472454095,0.0,1.0,3.3765631007037946
GREATER DUWAMISH,Bâtiments Autres,1999.0,1.0,6.0,,1.0749984020704002,0.20661302933239173,0.7933869706676082,6.795291819259501
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1924.0,1.0,2.0,,3.6946933471813983,0.0,1.0,4.57913417143725
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1965.0,1.0,2.0,,3.6946933471813983,0.0,1.0,3.34603697048488
GREATER DUWAMISH,Bâtiments Autres,1999.0,1.0,3.0,,1.574664861456401,0.0,1.0,7.128936906982807
GREATER DUWAMISH,Bâtiments d'Hébergement,2005.0,1.0,9.0,64.0,1.3701133808763424,0.08647721268751966,0.9135227873124804,5.964530048367777
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1916.0,1.0,4.0,34.0,3.782417716850543,0.0,1.0,2.87976009730157
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,1980.0,14.0,2.0,,9.116373217934585,0.09532610776150828,0.9046738922384917,6.619473026458324
NORTH,Bâtiments Autres,2008.0,1.0,6.0,,10.891212088468446,0.7981674320230179,0.20183256797698215,5.096262380063693
DOWNTOWN,Bâtiments d'Hébergement,1999.0,1.0,1.0,,0.860533030259317,0.0,1.0,7.402122198304855
CENTRAL,Bâtiments de Soins de Santé,1990.0,6.0,5.0,34.0,1.8141961545191834,0.0,1.0,8.498485284694775
LAKE UNION,Bâtiments Industriels et de Stockage,1991.0,1.0,3.0,91.0,5.151055622692895,0.10824038091701262,0.8917596190829874,2.363680192353857
EAST,Bâtiments de Soins de Santé,2000.0,9.0,8.0,29.0,0.7477657801151478,0.0,1.0,9.2813178062484
NORTHEAST,Bâtiments Éducatifs et Culturels,1928.0,1.0,2.0,98.0,6.909271496404259,0.0,1.0,4.302442155331039
NORTHEAST,Bâtiments d'Hébergement,1931.0,1.0,16.0,49.0,6.442265109049707,0.0,1.0,6.153944725854957
NORTH,Bâtiments Commerciaux et Administratifs,1972.0,1.0,5.0,62.0,12.999689214873225,0.0,1.0,3.9138213873695253
NORTHEAST,Bâtiments Éducatifs et Culturels,1952.0,1.0,2.0,46.0,6.537829461074722,0.0,1.0,4.449334754429963
NORTHEAST,Bâtiments Éducatifs et Culturels,1952.0,1.0,3.0,42.0,6.61197499508935,0.0,1.0,5.016816153171337
DOWNTOWN,Bâtiments Autres,1914.0,1.0,7.0,,0.6752528008843178,0.0,1.0,4.064057161283644
DOWNTOWN,Bâtiments Autres,1955.0,1.0,15.0,,0.23794502463863396,0.0,1.0,6.074426067822329
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1973.0,1.0,1.0,,5.1108768938631846,0.0,1.0,4.628984364087346
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1927.0,1.0,5.0,1.0,2.5909083513838214,0.20526315789473684,0.7947368421052632,6.49532597707234
DOWNTOWN,Bâtiments d'Hébergement,1961.0,1.0,4.0,8.0,1.52890285042844,0.0,1.0,6.96708965702724
DOWNTOWN,Bâtiments Autres,1995.0,4.0,3.0,,1.386945891954826,0.0,1.0,6.462077365760166
DOWNTOWN,Bâtiments d'Hébergement,2003.0,1.0,8.0,29.0,1.1592039177351021,0.15259189925788424,0.8474081007421158,6.6616501160305805
DOWNTOWN,Bâtiments Autres,1980.0,1.0,2.0,,0.6882304760570503,0.0,1.0,5.712940412440966
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1914.0,1.0,4.0,98.0,0.2958437980008188,0.0,1.0,3.811539466849824
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,2008.0,1.0,4.0,72.0,1.3180575051366632,0.0,1.0,3.3101779832749867
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1968.0,1.0,3.0,20.0,1.9246805276032395,0.2653622411499593,0.7346377588500407,4.237578730308009
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1981.0,1.0,4.0,57.0,1.824301441927226,0.23826324328500426,0.7617367567149957,4.23685634351072
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1978.0,1.0,12.0,39.0,1.553146733044462,0.09311965811965812,0.9068803418803418,5.012433676037635
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1989.0,1.0,25.0,74.0,0.8344661330621196,0.0,1.0,5.156638588216099
DOWNTOWN,Bâtiments de Vente et de Services,1925.0,1.0,10.0,93.0,0.834013711282637,0.0,1.0,5.98943749402335
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1976.0,1.0,33.0,89.0,0.907357484352722,0.0,1.0,5.750347943803522
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2000.0,1.0,23.0,90.0,1.0056130324883759,0.2742585393187803,0.7257414606812197,5.88640954033312
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1926.0,1.0,10.0,90.0,0.9775962036117958,0.12233279187497043,0.8776672081250295,5.144641573943989
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1930.0,1.0,17.0,91.0,0.9837064823193604,0.14649152790663605,0.8535084720933639,4.617691466541763
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1916.0,1.0,5.0,61.0,0.9042320632775912,0.0,1.0,3.3028492586443794
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1969.0,1.0,20.0,90.0,1.0265969543632494,0.12162451899748355,0.8783754810025165,6.335497415697645
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2009.0,1.0,25.0,95.0,1.228363575296688,0.30165571082379233,0.6983442891762077,5.439165675135416
