Neighborhood,GroupedPrimaryPropertyTypes,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,DistanceToDowntown,Log_SiteEnergyUseWN(kBtu)
BALLARD,Bâtiments Autres,1973.0,1.0,3.0,56000.0,,9.352171103446283,14.552186047669244
SOUTHWEST,Bâtiments Industriels et de Stockage,1969.0,1.0,2.0,52088.0,,7.432807129199432,14.2704791471994
LAKE UNION,Bâtiments d'Hébergement,1998.0,1.0,5.0,93920.0,79.0,2.7681240625353674,16.08524017264672
LAKE UNION,Bâtiments Autres,1900.0,1.0,1.0,50000.0,,2.5203808565802803,15.887743492454318
MAGNOLIA / QUEEN ANNE,Bâtiments Industriels et de Stockage,1926.0,1.0,2.0,50292.0,,2.3863293114189013,12.97264380321185
MAGNOLIA / QUEEN ANNE,Bâtiments d'Hébergement,1998.0,1.0,7.0,153315.0,76.0,2.587544785782226,16.279711652939707
NORTHWEST,Bâtiments Commerciaux et Administratifs,1957.0,1.0,2.0,91130.0,,10.625941490515755,16.1186448001483
NORTHWEST,Bâtiments d'Hébergement,1968.0,1.0,4.0,64893.0,70.0,11.579966889359742,15.641953298245786
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1900.0,1.0,3.0,44558.0,78.0,0.4563584472454095,14.359028322363152
GREATER DUWAMISH,Bâtiments Autres,1999.0,1.0,6.0,1258280.0,,1.0749984020704002,17.945227170704037
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1924.0,1.0,2.0,179161.0,,3.6946933471813983,16.134807624748603
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1965.0,1.0,2.0,58640.0,,3.6946933471813983,15.280515470600804
GREATER DUWAMISH,Bâtiments Autres,1999.0,1.0,3.0,1172127.0,,1.574664861456401,17.86567661345958
GREATER DUWAMISH,Bâtiments d'Hébergement,2005.0,1.0,9.0,153882.0,64.0,1.3701133808763424,16.370536144989142
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1916.0,1.0,4.0,79600.0,34.0,3.782417716850543,14.695719397429222
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,1980.0,14.0,2.0,302494.0,,9.116373217934585,17.807011231461143
NORTH,Bâtiments Autres,2008.0,1.0,6.0,84739.0,,10.891212088468446,16.03894345499484
DOWNTOWN,Bâtiments d'Hébergement,1999.0,1.0,1.0,934292.0,,0.860533030259317,18.012755166370237
CENTRAL,Bâtiments de Soins de Santé,1990.0,6.0,5.0,597519.0,34.0,1.8141961545191834,18.807975479511484
LAKE UNION,Bâtiments Industriels et de Stockage,1991.0,1.0,3.0,67236.0,91.0,5.151055622692895,13.256262077563179
EAST,Bâtiments de Soins de Santé,2000.0,9.0,8.0,1158691.0,29.0,0.7477657801151478,19.50813684985337
NORTHEAST,Bâtiments Éducatifs et Culturels,1928.0,1.0,2.0,55653.0,98.0,6.909271496404259,14.284205988140624
NORTHEAST,Bâtiments d'Hébergement,1931.0,1.0,16.0,106860.0,49.0,6.442265109049707,16.35050953960626
NORTH,Bâtiments Commerciaux et Administratifs,1972.0,1.0,5.0,50759.0,62.0,12.999689214873225,15.015997794751328
NORTHEAST,Bâtiments Éducatifs et Culturels,1952.0,1.0,2.0,56772.0,46.0,6.537829461074722,14.831757568879869
NORTHEAST,Bâtiments Éducatifs et Culturels,1952.0,1.0,3.0,103000.0,42.0,6.61197499508935,15.500386685957315
